component,n,m,status,objective,elapsed_seconds,note
299,2,1,Optimal,1,0.05905683299999964,
300,2,1,Optimal,1,0.057060874999990574,
301,2,1,Optimal,1,0.05780795799998373,
302,2,1,Optimal,1,0.06138987500000326,
303,2,1,Optimal,1,0.06129333399999837,
304,2,1,Optimal,1,0.06134045800001786,
305,2,1,Optimal,1,0.059671666000014056,
306,2,1,Optimal,1,0.06245475000000056,
307,2,1,Optimal,1,0.055338166000012734,
308,2,1,Optimal,1,0.059775125000015805,
309,2,1,Optimal,1,0.06248620799999571,
310,2,1,Optimal,1,0.05706991599998901,
311,2,1,Optimal,1,0.06421945799999662,
312,2,1,Optimal,1,0.0586076250000076,
313,2,1,Optimal,1,0.0764220830000113,
314,2,1,Optimal,1,0.05842091699997809,
315,2,1,Optimal,1,0.0616114590000052,
316,2,1,Optimal,1,0.059493125000017244,
317,2,1,Optimal,1,0.06727145800002177,
318,2,1,Optimal,1,0.06523570799998879,
319,2,1,Optimal,1,0.058885125000017524,
320,2,1,Optimal,1,0.061290624999998045,
321,2,1,Optimal,1,0.055378082999993694,
322,2,1,Optimal,1,0.06480754099999331,
323,2,1,Optimal,1,0.07063666700000226,
324,2,1,Optimal,1,0.058808833000000504,
325,2,1,Optimal,1,0.058258916999989196,
326,2,1,Optimal,1,0.06354000000001747,
327,2,1,Optimal,1,0.06067541599998094,
328,2,1,Optimal,1,0.17071920899999782,
329,2,1,Optimal,1,0.05712395800000536,
330,2,1,Optimal,1,0.05602904199997738,
331,2,1,Optimal,1,0.06180429099998719,
332,2,1,Optimal,1,0.062468999999993,
333,2,1,Optimal,1,0.060951625000001286,
334,2,1,Optimal,1,0.06280029199999149,
335,2,1,Optimal,1,0.06015529100000094,
336,2,1,Optimal,1,0.056728375000005826,
337,2,1,Optimal,1,0.055339541999984476,
338,2,1,Optimal,1,0.05513741699999741,
339,2,1,Optimal,1,0.05432674999997289,
340,2,1,Optimal,1,0.05754258300001425,
341,2,1,Optimal,1,0.05740220800001339,
342,2,1,Optimal,1,0.05718366700000388,
343,2,1,Optimal,1,0.051803833000008126,
344,2,1,Optimal,1,0.05874866700000325,
345,2,1,Optimal,1,0.05606158300000175,
346,2,1,Optimal,1,0.055160790999991605,
347,2,1,Optimal,1,0.11081029100000706,
348,2,1,Optimal,1,0.09982895800001756,
349,2,1,Optimal,1,0.062160500000004504,
350,2,1,Optimal,1,0.05692066699998577,
351,2,1,Optimal,1,0.057907833000001574,
352,2,1,Optimal,1,0.056160750000003645,
353,2,1,Optimal,1,0.056626875000006294,
354,1,0,Optimal,1,0.05084500000000958,
